"","GEOID","State","County","CountyPrevalence","TotalIDU","PercentIDU"
"1",1001,"AL","Autauga County",103,0,0
"2",1003,"AL","Baldwin County",282,0,0
"3",1005,"AL","Barbour County",97,0,0
"4",1007,"AL","Bibb County",37,0,0
"5",1009,"AL","Blount County",46,0,0
"6",1011,"AL","Bullock County",61,0,0
"7",1013,"AL","Butler County",45,0,0
"8",1015,"AL","Calhoun County",206,0,0
"9",1017,"AL","Chambers County",106,0,0
"10",1019,"AL","Cherokee County",20,0,0
"11",1021,"AL","Chilton County",36,0,0
"12",1023,"AL","Choctaw County",25,0,0
"13",1025,"AL","Clarke County",34,0,0
"14",1027,"AL","Clay County",22,0,0
"15",1029,"AL","Cleburne County",14,0,0
"16",1031,"AL","Coffee County",61,0,0
"17",1033,"AL","Colbert County",43,0,0
"18",1035,"AL","Conecuh County",28,0,0
"19",1037,"AL","Coosa County",14,0,0
"20",1039,"AL","Covington County",54,0,0
"21",1041,"AL","Crenshaw County",23,0,0
"22",1043,"AL","Cullman County",52,0,0
"23",1045,"AL","Dale County",112,0,0
"24",1047,"AL","Dallas County",140,0,0
"25",1049,"AL","Dekalb County",45,0,0
"26",1051,"AL","Elmore County",156,0,0
"27",1053,"AL","Escambia County",72,0,0
"28",1055,"AL","Etowah County",163,0,0
"29",1057,"AL","Fayette County",14,0,0
"30",1059,"AL","Franklin County",12,0,0
"31",1061,"AL","Geneva County",37,0,0
"32",1063,"AL","Greene County",28,0,0
"33",1065,"AL","Hale County",53,0,0
"34",1067,"AL","Henry County",24,0,0
"35",1069,"AL","Houston County",290,0,0
"36",1071,"AL","Jackson County",31,0,0
"37",1073,"AL","Jefferson County",3383,977,28.8796925805498
"38",1075,"AL","Lamar County",16,0,0
"39",1077,"AL","Lauderdale County",63,0,0
"40",1079,"AL","Lawrence County",24,0,0
"41",1081,"AL","Lee County",252,0,0
"42",1083,"AL","Limestone County",103,0,0
"43",1085,"AL","Lowndes County",56,0,0
"44",1087,"AL","Macon County",74,0,0
"45",1089,"AL","Madison County",663,0,0
"46",1091,"AL","Marengo County",29,0,0
"47",1093,"AL","Marion County",31,0,0
"48",1095,"AL","Marshall County",90,0,0
"49",1097,"AL","Mobile County",1732,0,0
"50",1099,"AL","Monroe County",41,0,0
"51",1101,"AL","Montgomery County",1343,0,0
"52",1103,"AL","Morgan County",138,0,0
"53",1105,"AL","Perry County",24,0,0
"54",1107,"AL","Pickens County",46,0,0
"55",1109,"AL","Pike County",98,0,0
"56",1111,"AL","Randolph County",16,0,0
"57",1113,"AL","Russell County",180,0,0
"58",1115,"AL","St. Clair County",105,0,0
"59",1117,"AL","Shelby County",256,0,0
"60",1119,"AL","Sumter County",32,0,0
"61",1121,"AL","Talladega County",178,0,0
"62",1123,"AL","Tallapoosa County",57,0,0
"63",1125,"AL","Tuscaloosa County",407,0,0
"64",1127,"AL","Walker County",78,0,0
"65",1129,"AL","Washington County",14,0,0
"66",1131,"AL","Wilcox County",18,0,0
"67",1133,"AL","Winston County",9,0,0
"68",2013,"AK","Aleutians East Borough",NA,0,NA
"69",2016,"AK","Aleutians West Census Area",NA,0,NA
"70",2020,"AK","Anchorage Municipality",NA,0,NA
"71",2050,"AK","Bethel Census Area",NA,0,NA
"72",2060,"AK","Bristol Bay Borough",NA,0,NA
"73",2068,"AK","Denali Borough",NA,0,NA
"74",2070,"AK","Dillingham Census Area",NA,0,NA
"75",2090,"AK","Fairbanks North Star Borough",NA,0,NA
"76",2100,"AK","Haines Borough",NA,0,NA
"77",2105,"AK","Hoonah-Angoon Census Area",NA,0,NA
"78",2110,"AK","Juneau City and Borough",NA,0,NA
"79",2122,"AK","Kenai Peninsula Borough",NA,0,NA
"80",2130,"AK","Ketchikan Gateway Borough",NA,0,NA
"81",2150,"AK","Kodiak Island Borough",NA,0,NA
"82",2158,"AK","Kusilvak Census Area",NA,0,NA
"83",2164,"AK","Lake And Peninsula Borough",NA,0,NA
"84",2170,"AK","Matanuska-Susitna Borough",NA,0,NA
"85",2180,"AK","Nome Census Area",NA,0,NA
"86",2185,"AK","North Slope Borough",NA,0,NA
"87",2188,"AK","Northwest Arctic Borough",NA,0,NA
"88",2195,"AK","Petersburg Borough",NA,0,NA
"89",2198,"AK","Prince of Wales-Hyder Census Area",NA,0,NA
"90",2220,"AK","Sitka City And Borough",NA,0,NA
"91",2230,"AK","Skagway Municipality",NA,0,NA
"92",2240,"AK","Southeast Fairbanks Census Area",NA,0,NA
"93",2261,"AK","Valdez-Cordova Census Area",NA,0,NA
"94",2275,"AK","Wrangell City And Borough",NA,0,NA
"95",2282,"AK","Yakutat City And Borough",NA,0,NA
