county_name,PercentIDU,State,totalIDU,Legal,sspExist,sspBurden
Anderson County,17.6,TX,18469,Not Legal,At least one SSP in state,18469
Andrews County,0,TX,18469,Not Legal,At least one SSP in state,18469
Angelina County,43.5714285714286,TX,18469,Not Legal,At least one SSP in state,18469
Aransas County,16.1290322580645,TX,18469,Not Legal,At least one SSP in state,18469
Archer County,NA,TX,18469,Not Legal,At least one SSP in state,18469
Armstrong County,NA,TX,18469,Not Legal,At least one SSP in state,18469
Atascosa County,0,TX,18469,Not Legal,At least one SSP in state,18469
Austin County,18.1818181818182,TX,18469,Not Legal,At least one SSP in state,18469
Bailey County,NA,TX,18469,Not Legal,At least one SSP in state,18469
Bandera County,0,TX,18469,Not Legal,At least one SSP in state,18469
Bastrop County,21.5277777777778,TX,18469,Not Legal,At least one SSP in state,18469
Baylor County,NA,TX,18469,Not Legal,At least one SSP in state,18469
Bee County,11.25,TX,18469,Not Legal,At least one SSP in state,18469
Bell County,26.1637239165329,TX,18469,Not Legal,At least one SSP in state,18469
Bexar County,15.6217162872154,TX,18469,Not Legal,At least one SSP in state,18469
Blanco County,0,TX,18469,Not Legal,At least one SSP in state,18469
Borden County,0,TX,18469,Not Legal,At least one SSP in state,18469
Bosque County,0,TX,18469,Not Legal,At least one SSP in state,18469
Bowie County,20.5128205128205,TX,18469,Not Legal,At least one SSP in state,18469
Brazoria County,25.8474576271186,TX,18469,Not Legal,At least one SSP in state,18469
Brazos County,33.2386363636364,TX,18469,Not Legal,At least one SSP in state,18469
Brewster County,NA,TX,18469,Not Legal,At least one SSP in state,18469
Briscoe County,NA,TX,18469,Not Legal,At least one SSP in state,18469
Brooks County,0,TX,18469,Not Legal,At least one SSP in state,18469
Brown County,19.5652173913043,TX,18469,Not Legal,At least one SSP in state,18469
Burleson County,0,TX,18469,Not Legal,At least one SSP in state,18469
Burnet County,14.2857142857143,TX,18469,Not Legal,At least one SSP in state,18469
Caldwell County,29.1139240506329,TX,18469,Not Legal,At least one SSP in state,18469
Calhoun County,0,TX,18469,Not Legal,At least one SSP in state,18469
Callahan County,0,TX,18469,Not Legal,At least one SSP in state,18469
Cameron County,26.1635220125786,TX,18469,Not Legal,At least one SSP in state,18469
Camp County,0,TX,18469,Not Legal,At least one SSP in state,18469
Carson County,NA,TX,18469,Not Legal,At least one SSP in state,18469
Cass County,0,TX,18469,Not Legal,At least one SSP in state,18469
Castro County,0,TX,18469,Not Legal,At least one SSP in state,18469
Chambers County,20.5128205128205,TX,18469,Not Legal,At least one SSP in state,18469
Cherokee County,27.3504273504274,TX,18469,Not Legal,At least one SSP in state,18469
Childress County,0,TX,18469,Not Legal,At least one SSP in state,18469
Clay County,0,TX,18469,Not Legal,At least one SSP in state,18469
Cochran County,NA,TX,18469,Not Legal,At least one SSP in state,18469
Coke County,NA,TX,18469,Not Legal,At least one SSP in state,18469
Coleman County,0,TX,18469,Not Legal,At least one SSP in state,18469
Collin County,26.1783439490446,TX,18469,Not Legal,At least one SSP in state,18469
Collingsworth County,NA,TX,18469,Not Legal,At least one SSP in state,18469
Colorado County,0,TX,18469,Not Legal,At least one SSP in state,18469
Comal County,15.7534246575342,TX,18469,Not Legal,At least one SSP in state,18469
Comanche County,0,TX,18469,Not Legal,At least one SSP in state,18469
Concho County,0,TX,18469,Not Legal,At least one SSP in state,18469
Cooke County,0,TX,18469,Not Legal,At least one SSP in state,18469
Coryell County,25,TX,18469,Not Legal,At least one SSP in state,18469
Cottle County,NA,TX,18469,Not Legal,At least one SSP in state,18469
Crane County,NA,TX,18469,Not Legal,At least one SSP in state,18469
Crockett County,NA,TX,18469,Not Legal,At least one SSP in state,18469
Crosby County,0,TX,18469,Not Legal,At least one SSP in state,18469
Culberson County,NA,TX,18469,Not Legal,At least one SSP in state,18469
Dallam County,0,TX,18469,Not Legal,At least one SSP in state,18469
Dallas County,19.4398480112766,TX,18469,Not Legal,At least one SSP in state,18469
Dawson County,0,TX,18469,Not Legal,At least one SSP in state,18469
Deaf Smith County,0,TX,18469,Not Legal,At least one SSP in state,18469
Delta County,NA,TX,18469,Not Legal,At least one SSP in state,18469
Denton County,20.8514335360556,TX,18469,Not Legal,At least one SSP in state,18469
Dewitt County,0,TX,18469,Not Legal,At least one SSP in state,18469
Dickens County,NA,TX,18469,Not Legal,At least one SSP in state,18469
Dimmit County,0,TX,18469,Not Legal,At least one SSP in state,18469
Donley County,NA,TX,18469,Not Legal,At least one SSP in state,18469
Duval County,0,TX,18469,Not Legal,At least one SSP in state,18469
Eastland County,0,TX,18469,Not Legal,At least one SSP in state,18469
Ector County,22.4489795918367,TX,18469,Not Legal,At least one SSP in state,18469
Edwards County,NA,TX,18469,Not Legal,At least one SSP in state,18469
Ellis County,24.5689655172414,TX,18469,Not Legal,At least one SSP in state,18469
El Paso County,17.2772277227723,TX,18469,Not Legal,At least one SSP in state,18469
Erath County,0,TX,18469,Not Legal,At least one SSP in state,18469
Falls County,51.8518518518518,TX,18469,Not Legal,At least one SSP in state,18469
Fannin County,9.09090909090909,TX,18469,Not Legal,At least one SSP in state,18469
Fayette County,0,TX,18469,Not Legal,At least one SSP in state,18469
Fisher County,NA,TX,18469,Not Legal,At least one SSP in state,18469
Floyd County,0,TX,18469,Not Legal,At least one SSP in state,18469
Foard County,NA,TX,18469,Not Legal,At least one SSP in state,18469
Fort Bend County,36.5799256505576,TX,18469,Not Legal,At least one SSP in state,18469
Franklin County,0,TX,18469,Not Legal,At least one SSP in state,18469
Freestone County,8.19672131147541,TX,18469,Not Legal,At least one SSP in state,18469
Frio County,12.5,TX,18469,Not Legal,At least one SSP in state,18469
Gaines County,0,TX,18469,Not Legal,At least one SSP in state,18469
Galveston County,25.0554323725055,TX,18469,Not Legal,At least one SSP in state,18469
Garza County,17.9487179487179,TX,18469,Not Legal,At least one SSP in state,18469
Gillespie County,0,TX,18469,Not Legal,At least one SSP in state,18469
Glasscock County,NA,TX,18469,Not Legal,At least one SSP in state,18469
Goliad County,0,TX,18469,Not Legal,At least one SSP in state,18469
Gonzales County,0,TX,18469,Not Legal,At least one SSP in state,18469
Gray County,0,TX,18469,Not Legal,At least one SSP in state,18469
Grayson County,22.9885057471264,TX,18469,Not Legal,At least one SSP in state,18469
Gregg County,34.4298245614035,TX,18469,Not Legal,At least one SSP in state,18469
Grimes County,8.69565217391304,TX,18469,Not Legal,At least one SSP in state,18469
Guadalupe County,15.2777777777778,TX,18469,Not Legal,At least one SSP in state,18469
Hale County,0,TX,18469,Not Legal,At least one SSP in state,18469
Hall County,NA,TX,18469,Not Legal,At least one SSP in state,18469
