Year,Allowed,New.Diagnoses.State.Rate,New.Diagnoses.Male.Rate,New.Diagnoses.Female.Rate,New.Diagnoses.Black.Rate,New.Diagnoses.Hispanic.Rate,New.Diagnoses.White.Rate,New.Diagnoses.American.Indian.Alaska.Native.Rate,New.Diagnoses.Multiple.Race.Rate,New.Diagnoses.Male.and.IDU.Cases,New.Diagnoses.Male.and.IDU.Percent,New.Diagnoses.Female.and.IDU.Cases,New.Diagnoses.Female.and.IDU.Percent,New.Diagnoses.IDU.and.Age.13.24.Cases,New.Diagnoses.IDU.and.Age.13.24.Percent,New.Diagnoses.IDU.and.Age.25.34.Cases,New.Diagnoses.IDU.and.Age.25.34.Percent,New.Diagnoses.IDU.and.Age.35.44.Cases,New.Diagnoses.IDU.and.Age.35.44.Percent,New.Diagnoses.IDU.and.Age.45.54.Cases,New.Diagnoses.IDU.and.Age.45.54.Percent,New.Diagnoses.IDU.and.Age.55..Cases,New.Diagnoses.IDU.and.Age.55..Percent,New.Diagnoses.IDU.and.American.Indian.Alaska.Native.Cases,New.Diagnoses.IDU.and.American.Indian.Alaska.Native.Percent,New.Diagnoses.IDU.and.Asian.Cases,New.Diagnoses.IDU.and.Asian.Percent,New.Diagnoses.IDU.and.Black.Cases,New.Diagnoses.IDU.and.Black.Percent,New.Diagnoses.IDU.and.Hispanic.Cases,New.Diagnoses.IDU.and.Hispanic.Percent,New.Diagnoses.IDU.and.White.Cases,New.Diagnoses.IDU.and.White.Percent,New.Diagnoses.IDU.Total.Cases,New.Diagnoses.MSM.IDU.Cases,New.Diagnoses.MSM.IDU.Percent,New.Diagnoses.MSM.IDU.and.Age.13.24.Cases,New.Diagnoses.MSM.IDU.and.Age.13.24.Percent,New.Diagnoses.MSM.IDU.and.Age.25.34.Cases,New.Diagnoses.MSM.IDU.and.Age.25.34.Percent,New.Diagnoses.MSM.IDU.and.Age.35.44.Cases,New.Diagnoses.MSM.IDU.and.Age.35.44.Percent,New.Diagnoses.MSM.IDU.and.Age.45.54.Cases,New.Diagnoses.MSM.IDU.and.Age.45.54.Percent,New.Diagnoses.MSM.IDU.and.Age.55..Cases,New.Diagnoses.MSM.IDU.and.Age.55..Percent,New.Diagnoses.MSM.IDU.and.American.Indian.Alaska.Native.Cases,New.Diagnoses.MSM.IDU.and.American.Indian.Alaska.Native.Percent,New.Diagnoses.MSM.IDU.and.Asian.Cases,New.Diagnoses.MSM.IDU.and.Asian.Percent,New.Diagnoses.MSM.IDU.and.Black.Cases,New.Diagnoses.MSM.IDU.and.Black.Percent,New.Diagnoses.MSM.IDU.and.Hispanic.Cases,New.Diagnoses.MSM.IDU.and.Hispanic.Percent,New.Diagnoses.MSM.IDU.and.White.Cases,New.Diagnoses.MSM.IDU.and.White.Percent
2008,No,19,27,11,50,31,5,5,155,26,5.1,28,13.2,5,2.9,9,4.8,17,10.2,18,12.6,7,14.3,0,0,1,25,35,7.1,2,6.9,15,10.3,54,21,4.2,2,1.2,7,3.7,6,3.6,4,2.8,2,4.1,0,0,0,0,8,1.6,0,0,11,7.5
2008,No,7,10,3,29,3,5,15,0,2,6.7,1,12.5,0,0,1,10,0,0,2,18.2,0,0,0,0,0,-1,1,16.7,0,0,2,10.5,3,3,10,0,0,1,10,2,20,0,0,0,0,0,0,0,-1,0,0,0,0,3,15.8
2008,No,13,23,3,35,17,10,13,23,45,7.5,31,36.9,6,5.4,21,9.8,27,13.3,18,15.3,5,13.5,1,3.6,0,0,9,14.1,37,15.7,27,8.1,76,50,8.3,6,5.4,18,8.4,17,8.4,8,6.8,2,5.4,4,14.3,0,0,6,9.4,11,4.7,29,8.7
2008,No,11,18,4,36,16,5,6,58,10,5,8,17.8,2,4.3,5,6.9,4,6.8,6,12.2,1,4.8,0,0,0,0,12,9.4,1,5.6,5,5.8,18,13,6.4,3,6.5,5,6.9,2,3.4,3,6.1,1,4.8,0,0,0,0,4,3.1,2,11.1,5,5.8
2008,No,19,34,5,61,23,14,12,35,277,5.5,159,21.9,28,3.1,83,4.9,131,7.9,129,12.1,65,16.3,3,15.8,5,2.1,131,11.7,128,5.7,157,8.3,436,344,6.9,45,5,118,6.9,105,6.3,62,5.8,14,3.5,2,10.5,5,2.1,41,3.7,133,5.9,150,8
2008,No,11,19,3,41,20,8,10,12,14,3.6,8,13.1,2,3.3,5,3.6,4,3.2,7,7.7,5,12.2,0,0,2,18.2,5,7.9,5,3.6,8,3.4,22,38,9.6,3,5,17,12.2,13,10.5,4,4.4,1,2.4,1,33.3,0,0,4,6.3,13,9.4,19,8.2
2008,No,12,18,7,51,34,4,0,30,36,14.4,18,16.8,2,3.9,10,10.6,16,19.8,17,20,9,19.6,0,-1,0,0,22,16.3,21,19.4,11,11.2,54,13,5.2,5,9.8,2,2.1,3,3.7,0,0,1,2.2,0,-1,0,0,2,1.5,3,2.8,3,3.1
2008,Yes,22,32,13,71,31,7,0,89,12,10.8,9,18,0,0,5,12.5,8,14.8,5,17.9,2,14.3,0,-1,0,0,10,9.7,4,30.8,6,16.7,21,4,3.6,0,0,1,2.5,2,3.7,1,3.6,0,0,0,-1,0,0,2,1.9,1,7.7,1,2.8
2008,No,209,317,116,299,183,75,74,817,72,9.6,68,21.6,9,6.3,22,8.6,34,11.9,53,20.1,22,19.1,0,0,1,16.7,126,15.6,6,8.2,3,2.3,140,53,7.1,8,5.6,16,6.3,12,4.2,9,3.4,8,7,0,0,0,0,36,4.5,3,4.1,6,4.5
2008,No,38,57,21,134,41,16,13,111,224,5.2,179,10.7,23,2.7,73,5.5,93,5.5,155,11.2,59,8.4,2,33.3,2,6.5,183,6.2,88,7,114,7.3,403,170,4,16,1.9,48,3.6,57,3.4,40,2.9,9,1.3,0,0,0,0,50,1.7,42,3.3,75,4.8
2008,No,41,62,20,97,39,12,5,226,126,5.3,115,14.1,21,3.2,38,4.7,64,7.5,83,13,36,14.6,0,0,2,12.5,176,7.9,10,4.8,41,7.1,241,95,4,18,2.8,22,2.7,25,2.9,20,3.1,10,4.1,0,0,0,0,49,2.2,9,4.3,26,4.5
2008,No,8,14,2,41,10,11,0,5,1,1.4,2,16.7,0,0,1,4.2,0,0,1,5,0,0,0,-1,1,4.8,0,0,0,0,0,0,3,5,6.8,1,8.3,2,8.3,1,4.8,0,0,0,0,0,-1,0,0,0,0,0,0,1,3.2
2008,No,4,7,1,29,7,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.5,0,7,15.9,2,13.3,1,6.3,3,30,0,0,0,0,1,100,0,0,0,0,1,12.5,4,10
2008,No,18,27,9,65,24,6,11,122,117,8.3,100,21.8,16,3.9,29,5.6,54,11.9,75,22.1,43,28.9,0,0,1,3.2,152,15.6,27,8.1,31,7.3,217,82,5.8,16,3.9,21,4,26,5.7,15,4.4,4,2.7,0,0,0,0,29,3,27,8.1,20,4.7
2008,No,9,14,4,45,20,4,8,45,24,6.6,13,13.1,2,2.2,4,3.2,11,8.3,12,15.2,9,23.7,0,0,2,33.3,21,10.5,2,4.3,11,5.8,37,17,4.7,3,3.3,7,5.6,5,3.8,2,2.5,0,0,0,0,1,16.7,3,1.5,3,6.4,7,3.7
2008,No,4,6,1,18,14,3,0,18,3,3.8,4,22.2,2,14.3,1,3.6,2,9.1,1,4.5,1,10,0,-1,0,0,0,0,1,8.3,6,8.6,7,1,1.3,0,0,0,0,1,4.5,0,0,0,0,0,-1,0,0,0,0,0,0,1,1.4
2008,No,6,10,2,30,11,4,0,39,6,5.1,5,21.7,2,8.3,1,2.4,5,13.5,2,6.5,1,12.5,0,-1,0,-1,1,2.6,0,0,8,11.4,11,8,6.8,0,0,1,2.4,5,13.5,1,3.2,0,0,0,-1,0,-1,0,0,1,5,7,10
2008,No,10,17,3,48,34,6,0,42,20,6.7,17,32.7,2,2.7,9,9.5,11,12.4,11,16.4,3,12,0,-1,0,0,17,13.7,1,4,18,9.6,37,19,6.4,3,4.1,8,8.4,7,7.9,1,1.5,0,0,0,-1,0,0,7,5.6,1,4,10,5.3
2008,No,30,41,19,70,55,9,5,81,59,8.3,66,18.1,8,3.3,32,10.3,37,15.9,32,16.2,16,16.7,0,0,0,0,102,13,5,7.7,16,7.8,125,31,4.3,8,3.3,7,2.3,9,3.9,4,2,3,3.1,0,0,0,0,19,2.4,2,3.1,7,3.4
2008,No,4,7,1,43,24,4,0,0,4,10.8,1,12.5,0,0,1,12.5,1,7.7,0,0,2,18.2,0,-1,0,-1,0,0,0,0,4,10.5,5,1,2.7,1,16.7,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,1,2.6
2008,No,45,62,30,116,59,10,0,217,218,15.6,141,19.4,16,4.6,43,9.1,98,18.2,125,25.8,75,26.6,0,-1,1,8.3,286,18.4,9,5.4,43,15.4,359,55,3.9,11,3.2,12,2.5,20,3.7,8,1.6,5,1.8,0,-1,0,0,41,2.6,5,3,4,1.4
2008,Yes,14,20,8,78,41,7,9,36,76,14.2,51,23.8,7,9,31,15.8,30,14.8,42,21.9,17,21,0,0,2,8.7,45,18.4,43,25,33,11.3,127,40,7.5,6,7.7,15,7.7,9,4.4,8,4.2,1,1.2,0,0,0,0,4,1.6,8,4.7,26,8.9
2008,No,9,15,4,43,15,3,2,36,27,4.4,38,21.7,7,3.3,14,7.1,18,9.6,17,13.8,9,14.3,0,0,0,0,40,8.2,4,9.1,18,8.7,65,29,4.8,4,1.9,9,4.5,10,5.3,6,4.9,0,0,0,0,0,0,15,3.1,1,2.3,13,6.3
2008,No,8,12,4,63,21,5,14,23,9,3.7,12,14,4,7,6,5.6,4,4.7,6,10,1,4.5,2,33.3,0,0,9,8.3,2,6.7,7,4.1,21,21,8.5,2,3.5,10,9.3,4,4.7,3,5,2,9.1,0,0,1,16.7,2,1.8,1,3.3,17,10
