GEO ID,State Abbreviation,State,Year,State PrEP Users,State PrEP Rates,State PrEP Rate Stability,Male PrEP Users,Male PrEP Rate,Male PrEP Rate Stability,Female PrEP Users,Female PrEP Rate,Female PrEP Rate Stability,Age LE 24 PrEP Users,Age LE 24 PrEP Rate,Age LE 24 PrEP Rate Stability,Age 25-34 PrEP Users,Age 25-34 PrEP Rate,Age 25-34 PrEP Rate Stability,Age 35-44 PrEP Users,Age 35-44 PrEP Rate,Age 35-44 PrEP Rate Stability,Age 45-54 PrEP Users,Age 45-54 PrEP Rate,Age 45-54 PrEP Rate Stability,Age 55+ PrEP Users,Age 55+ PrEP Rate,Age 55+ PrEP Rate Stability
1,AL,Alabama,2012,63,2,Y,35,2,Y,28,1,Y,7,1,N,17,3,Y,13,2,Y,16,2,Y,9,1,N
2,AK,Alaska,2012,8,1,N,6,2,N,2,1,N,-1,-1,N,2,2,N,2,2,N,2,2,N,2,1,N
4,AZ,Arizona,2012,171,3,Y,89,3,Y,82,3,Y,23,2,Y,54,6,Y,40,5,Y,33,4,Y,22,1,Y
5,AR,Arkansas,2012,41,2,Y,18,2,Y,23,2,Y,7,1,N,12,3,Y,12,3,Y,6,2,N,4,0,N
6,CA,California,2012,1063,3,Y,767,5,Y,296,2,Y,92,1,Y,316,6,Y,289,6,Y,227,4,Y,140,2,Y
8,CO,Colorado,2012,98,2,Y,57,3,Y,41,2,Y,17,2,Y,32,4,Y,27,4,Y,17,2,Y,5,0,N
9,CT,Connecticut,2012,180,6,Y,76,5,Y,104,7,Y,40,7,Y,62,14,Y,43,9,Y,18,3,Y,16,2,Y
10,DE,Delaware,2012,46,6,Y,18,5,Y,28,7,Y,13,9,Y,14,12,Y,13,12,Y,3,2,N,3,1,N
11,DC,District of Columbia,2012,82,15,Y,59,23,Y,23,8,Y,13,12,Y,26,19,Y,25,29,Y,8,11,N,9,6,N
12,FL,Florida,2012,838,5,Y,464,6,Y,374,4,Y,107,4,Y,231,10,Y,204,8,Y,186,7,Y,109,2,Y
13,GA,Georgia,2012,280,3,Y,151,4,Y,129,3,Y,27,2,Y,106,8,Y,69,5,Y,54,4,Y,24,1,Y
15,HI,Hawaii,2012,26,2,Y,12,2,Y,14,2,Y,2,1,N,9,5,N,3,2,N,5,3,N,7,2,N
16,ID,Idaho,2012,10,1,N,4,1,N,6,1,N,3,1,N,5,2,N,1,1,N,1,0,N,-1,-1,N
17,IL,Illinois,2012,332,3,Y,185,4,Y,147,3,Y,55,3,Y,82,5,Y,79,5,Y,73,4,Y,43,1,Y
18,IN,Indiana,2012,104,2,Y,54,2,Y,50,2,Y,29,3,Y,29,3,Y,24,3,Y,14,2,Y,8,0,N
19,IA,Iowa,2012,60,2,Y,22,2,Y,38,3,Y,12,2,Y,23,6,Y,8,2,N,11,3,N,6,1,N
20,KS,Kansas,2012,54,2,Y,27,2,Y,27,2,Y,11,2,N,21,6,Y,11,3,N,7,2,N,3,0,N
21,KY,Kentucky,2012,49,1,Y,23,1,Y,26,1,Y,13,2,Y,12,2,Y,13,2,Y,9,1,N,1,0,N
22,LA,Louisiana,2012,105,3,Y,58,3,Y,47,2,Y,9,1,N,33,5,Y,31,5,Y,18,3,Y,14,1,Y
23,ME,Maine,2012,29,3,Y,14,3,Y,15,3,Y,5,3,N,8,5,N,7,4,N,6,3,N,3,1,N
24,MD,Maryland,2012,197,4,Y,106,4,Y,91,4,Y,25,3,Y,78,10,Y,36,5,Y,38,4,Y,17,1,Y
25,MA,Massachusetts,2012,790,14,Y,315,12,Y,475,16,Y,197,18,Y,272,31,Y,147,17,Y,103,10,Y,70,4,Y
26,MI,Michigan,2012,142,2,Y,85,2,Y,57,1,Y,22,1,Y,46,4,Y,32,3,Y,23,2,Y,19,1,Y
27,MN,Minnesota,2012,105,2,Y,54,2,Y,51,2,Y,20,2,Y,32,4,Y,20,3,Y,24,3,Y,9,1,N
28,MS,Mississippi,2012,37,2,Y,15,1,Y,22,2,Y,5,1,N,13,3,Y,5,1,N,9,2,N,5,1,N
