GEO ID,State Abbreviation,State,Year,State PrEP Users,State PrEP Rates,State PrEP Rate Stability,Male PrEP Users,Male PrEP Rate,Male PrEP Rate Stability,Female PrEP Users,Female PrEP Rate,Female PrEP Rate Stability,Age LE 24 PrEP Users,Age LE 24 PrEP Rate,Age LE 24 PrEP Rate Stability,Age 25-34 PrEP Users,Age 25-34 PrEP Rate,Age 25-34 PrEP Rate Stability,Age 35-44 PrEP Users,Age 35-44 PrEP Rate,Age 35-44 PrEP Rate Stability,Age 45-54 PrEP Users,Age 45-54 PrEP Rate,Age 45-54 PrEP Rate Stability,Age 55+ PrEP Users,Age 55+ PrEP Rate,Age 55+ PrEP Rate Stability
1,AL,Alabama,2016,632,15,Y,570,29,Y,62,3,Y,67,9,Y,256,41,Y,168,28,Y,114,18,Y,36,3,Y
2,AK,Alaska,2016,64,11,Y,56,18,Y,8,3,N,10,8,N,21,17,Y,14,15,Y,15,16,Y,4,2,N
4,AZ,Arizona,2016,1004,17,Y,945,33,Y,59,2,Y,101,9,Y,365,39,Y,259,30,Y,186,22,Y,101,5,Y
5,AR,Arkansas,2016,291,12,Y,275,23,Y,16,1,Y,32,7,Y,125,33,Y,75,21,Y,47,12,Y,14,2,Y
6,CA,California,2016,10388,32,Y,9973,62,Y,415,3,Y,900,14,Y,3653,62,Y,2690,52,Y,2181,42,Y,1059,11,Y
8,CO,Colorado,2016,1048,23,Y,989,43,Y,59,3,Y,110,12,Y,451,54,Y,235,31,Y,186,26,Y,73,5,Y
9,CT,Connecticut,2016,949,31,Y,872,59,Y,77,5,Y,132,22,Y,374,86,Y,223,53,Y,158,30,Y,72,7,Y
10,DE,Delaware,2016,245,30,Y,213,55,Y,32,8,Y,28,20,Y,96,75,Y,53,48,Y,41,33,Y,30,10,Y
11,DC,District of Columbia,2016,1571,268,Y,1519,551,Y,52,17,Y,125,117,Y,631,408,Y,445,451,Y,281,362,Y,106,71,Y
12,FL,Florida,2016,5638,32,Y,5288,62,Y,350,4,Y,466,16,Y,1966,74,Y,1450,59,Y,1241,45,Y,558,8,Y
13,GA,Georgia,2016,2165,25,Y,1991,48,Y,174,4,Y,191,11,Y,737,53,Y,576,42,Y,515,37,Y,167,6,Y
15,HI,Hawaii,2016,211,18,Y,193,32,Y,18,3,Y,28,13,Y,81,39,Y,48,27,Y,28,16,Y,26,6,Y
